index,category_gold,document
7155,sci.electronics,re microphone pre amp low noise phantom powered davidj rahul net david josephson writes in c jjj tf cmcl nyu edu ali cns nyu edu alan macaluso writes i m looking to build a microphone preamp that has very good low noise characteristics large clean gain and incorportates phantom power volts dc for a pzm microphone i m leaning towards a good low cost instrumentation amplifier to maintain the balanced input from the microphone for its good cmrr internal compensation and because i can use a minimal of parts does anyone out there have any experience suggestions advice etc that they d like to pass on i d greatly appreciate it without doing anything really tricky the best i ve seen is the burr brown ina their databook shows a good application of this chip as a phantom power mic pre i ve had very good results from the ssm from pmi part of analogue devices they have also now introduced the ssm which looks good on paper but which i haven t tried yet christopher christopher hicks paradise is a linear gaussian world cmh uk ac cam eng also reported to taste hot and sweaty
6629,sci.crypt,report on privacy protecting off line cash available i recently published a new privacy protecting off line electronic cash system as a technical report at cwi being a phd student at david chaum s cryptography group our group has a long history in research in the field of privacy protecting cash systems the report is called cs r ps z contains pages and can be retrieved from ftp cwi nl from the directory pub cwireports aa the postscript file is suitable for dpi laserprinters abstract from coverpage we present a new off line electronic cash system based on a problem called the representation problem of which little use has been made in literature thus far our system is the first to be based entirely on discrete logarithms using the representation problem as a basic concept some techniques are introduced that enable us to construct protocols for withdrawal and payment that do not use the cut and choose methodology of earlier systems as a consequence our cash system is much more efficient in both computation and communication complexity than any such system proposed previously another important aspect of our system concerns its provability contrary to previously proposed systems its correctness can be mathematically proven to a very great extent specifically if we make one plausible assumption concerning a single hash function the ability to break the system seems to imply that one can break the diffie hellman problem our system offers a number of extensions that are hard to achieve in previously known systems in our opinion the most interesting of these is that the entire cash system including all the extensions can be incorporated in a setting based on wallets with observers which has the important advantage that double spending can be prevented in the first place rather than detecting the identity of a double spender after the fact in particular it can be incorporated even under the most stringent requirements conceivable about the privacy of the user which seems to be impossible to do with previously proposed systems another benefit of our system is that framing attempts by a bank have negligible probability of success independent of computing power by a simple mechanism from within the system which is something that previous solutions lack entirely furthermore the basic cash system can be extended to checks multi show cash and divisibility while retaining its computational efficiency cryptographers are challenged to try to break this system i made a particular effort to keep the report as self contained as possible nevertheless if you have any questions please e mail to me and i will try to reply as good as i can any comments are also welcome stefan brands cwi kruislaan sj amsterdam the netherlands tel e mail brands cwi nl
5423,rec.sport.baseball,re defensive averages shortstop in article apr leland stanford edu addison leland stanford edu brett rogers writes in article steph pegasus cs uiuc edu steph pegasus cs uiuc edu dale stephenson writes smith ozzie the wizard s is the second highest year ever still very good but i don t like the way his numbers have declined every year in a few years may be a defensive liability that s rich ozzie smith a defensive liability why not brooks robinson is a defensive liability too and ted williams is a weak hitter even great players decline as they age valentine
10789,talk.politics.misc,re limiting govt was re employment was re why not concentrate in article apr eecs nwu edu ian nasser eecs nwu edu ian sutherland writes in article apr isc br isc br com steveh thor isc br com steve hendricks writes in article apr tijc uucp pjs tijc uucp paul schmidt writes steveh thor isc br com steve hendricks writes it is a failure of libertarianism if the ideology does not provide any reasonable way to restrain such actions other than utopian dreams you seem to be saying that a limited government will provide more opportunities for private interests to use it to pursue their own agendas and asking libertarians to prove that this will not happen while i can t offer such a proof it seems pretty damn plausible that if the government does not regulate a particular area it cannot become a tool of private interests to pursue their own agendas in that area i rather suspect that it s the sort of government we have now that is more likely to become such a tool and that it is such a tool in many instances pardon me for interrupting but why doesn t anyone ever bring up other possibilities besides more government less government or no government and stop there it seems to me that the problems with society go much deeper than government democracies seem to reflective of the majority of society both the good and the bad if you take away the government you still have the structural flaws in society except this time with no restraints yes no why doesn t anybody ever discuss communal society like a kibbutz i never studied it on depth but from what i ve heard the kibbutz in isreal was very successful it is also very close to what aristotle and socrates believed was the best sorry to detract from the discussion just as marxism fails to specify how pure communism is to be achieved and the state is to wither away libertarians frequently fail to show how weakening the power of the state will result in improvement in the human condition i suspect that this is because improvement in the human condition as you define it is not the primary goal of libertarianism and would not be the primary goal of a libertarian government my impression of libertarianism is that its primary goal is the elimination of government coercion except in a very limited cases but what good is change if there is no tracable improvement in the human condition who would ever support the change if you tell them it won t improve their lives i know that there are and will be libertarians who will jump in now and say that it will improve our lives i can deal with that all i m saying is that improving the human condition must be the primary goal of any organization ian sutherland ian eecs nwu edu who said anything about panicking snapped authur garrett johnson this is still just culture shock you wait till i ve garrett ingres com settled into the situation and found my bearings then i ll start panicking douglas adams
5036,rec.motorcycles,re bmw battery in article apr ra msstate edu vech ra msstate edu craig a vechorik writes if i remember correctly the reason that bmw s come with those expensive and relatively worthless short lived varda batteries is cause bmw owns a controling interest in that battery manufacturer what s wrong with the bmw battery i ve never had problems and i know numerous people that are still using the original battery in there year old beemers the original battery in an year old bmw may be fine mine lasted many years the replacement ah battery from bmw was a disaster the mechanic from comp acc told me that ca would warantee replace the bad one with a new one of the same evil bad batteries and tell the customer if they have problems to bring it back and they d do it again it seems that many of those ah batteries were doa near doa and always unlikely to be going strong by the end of the warantee period on them there was a big batch of bad ones and they replaced them with you guessed it more bad ones bmw switched to a ah battery that has more cold cranking amps even if it has less total juice i switched to a yuasa that has even more cold cranking amps and cost one third fewer dollars neil kirby dod nak archie cbusa att com at t bell labs columbus oh usa if you think i speak for at t you might have more lawyers than sense
1656,comp.sys.ibm.pc.hardware,re null modem pin serial bruce maynard drac uumeme chi il us wrote in article mal psuvm psu edu mitch lewars mal psuvm psu edu writes can someone give me the specs on a null modem cable i ferget which get crossed mal psuvm psu edu that s an easy one carry all pins straight thru with the exception of pins which should be crossed as someone else already mentioned don t carry thru the other pins plan a minimal null modem sg sg td rd rd td if you re transfering files betwen pcs this ought to work unless you have a persnickity comm program plan b null modem with modem control sg sg td rd rd td dcd dtr dtr dcd some comm software will wait for dcd before transferring anything such software will raise dtr to enable the modem to accept a call with this cable each side s dtr will drive the other s dcd plan c null modem with hardware flow control sg sg td rd rd td rts cts cts rts for high speed transfers you want the flow control plan d deluxe null modem combine b and c sg sg td rd rd td rts cts cts rts dcd dtr dtr dcd this one is ideal it leaves out dsr and ri rarely used anymore if you re really paranoid or you just have an th wire to spend you might add fg fg the pin numbers above are obviously for pin connectors i don t have a pin pinout handy wayne hamilton i net hamilton osiris cso uiuc edu lowtek box urbana il voice bbs
3136,comp.windows.x,r version of xrecplay i have and use xrecplay for x r does one exist for x r i have tried to contact one of the developers eric swildens at ess hal com but he is no longer there and has no forwarding email address archie is no help either any help would be appreciated thanks daniel j mccoy space i net inc nasa mail code pt is tel nasa johnson space center our fax houston texas future mccoy gothamcity jsc nasa gov
2305,comp.sys.mac.hardware,lciii to vga monitor adapters i m having a real tough time finding out the proper adapters to use a vga monitor an ibm sold w many ps s to be exact on the mac lc iii all of the vendors i have called say that the internal video will not work on a true vga monitor but will work on a ibm compatible multisync like the sony s or the nec monitors i thought the vga capability of lciii was very attractive because it allowed you to use inexpensive vga monitors am i confused or are these vendors just not up to speed has anyone used an lciii with a non multisync vga monitor and if so where did you get your adapter please be specific w vendor and cat i would prefer to get a apple monitor for these lciii s it s unseemly to see the finder inside an ibm bezel but the more money we save on monitors the more lciii s we can afford and the more ps s we can get rid of charles kuehmann northwestern university steel research group qman casbah acns nwu edu
1207,comp.os.ms-windows.misc,re panasonic kx p i driver in apr netnews noc drexel edu brzyckmj dunx ocs drexel edu mike writes does anyone out there know if there are print drivers for windows for the panasonic kx p i pin dot matrix printer i ve been told that panasonic has uploaded some to compu erve but i don t have a cis account i just use the epson fx driver myself and it comes out very pretty if very slowly on my i carl fink carlf panix com c fink genie or cf i liuvax bitnet facts are stubborn things and whatever may be our wishes our inclinations or the dictates of our passions they cannot alter the state of facts and evidence john adams
8187,sci.space,re portable small ground station dir in article c zgam nj zoo toronto edu henry zoo toronto edu henry spencer writes in article apr aurora alaska edu nsmca aurora alaska edu writes how difficult would it be to set up your own ground station ground station for what at one extreme some of the amateur radio satellites have sometimes been reachable with hand held radios at the other nothing you can do in your back yard will let you listen in on galileo please be more specific all work is one man s work henry spencer u of toronto zoology kipling henry zoo toronto edu utzoo henry specific basically to be able to do the things the big dadies can do monitor and control if need be the shuttle such as the one in australia and such michael adams nsmca acad alaska edu i m not high just jacked
10016,talk.politics.mideast,re was go hezbollah in article c i j f a eis calstate edu mafifi eis calstate edu marc a afifi writes resistance fighters don t forget that it was the french resistance to the nazi occupying forces which eventually succeeded in driving out the hostile occupiers in wwii and all this time i thought it was the us britian invading normandy the constant round the clock bombing and the fact that the germans were fighting on two fronts how silly of me this is not to devalue the actions of the resistance movements but resistance movements did not defeat the nazis diplomacy has not worked with israel and the lebanese people are tired of being occupied they are now turning to the only option they see as viable don t forget that it worked in driving out the us israel has repeatedly stated that it will leave when the lebanese government shows that it can prevent attacks on israel and when the syrians agree to leave the lebanese have not tried diplomacy for very long or maybe they re not capable of getting rid of the syrians and iranians who occupy their land if they closed down the hezbolah and negotiated a withdrawl of syrian forces israel would be happy to leave adam adam shostack adam das harvard edu if we had a budget big enough for drugs and sexual favors we sure wouldn t waste them on members of congress john perry barlow
6974,sci.electronics,re jacob s ladder g m alpha ru ac za brad meier writes hi i m looking for a circuit that is called a jacob s ladder this little box is usually seen in sci fi movies it consists of two curves of wire protruding into the air with little blue sparks starting at their base where the two wires are closer to each other moving up the wires to the top and ending in a small crackling noise could anyone supply me with the schematic for the innards of this box thanks in advance mike please reply by email to g k alpha ru ac za the knightorc g m hippo ru ac za when it s over i ll go home until then i stay me i d like any accumulated information on this as well please thanks baden de bari o o baden sys bison ca baden inqmind bison ca
7145,sci.electronics,re radar detector detectors alee bmerh bnr ca louis leclerc writes in article oasys dt navy mil you write va ct wash dc and i think bc canada where i ve heard they actually use radar detector detectors nope not in british columbia detectors are legal here in bc i ve even got one in alberta and ontario they re illegal and detection devices are sometimes used i ve heard the police in ontario prefer a much more direct method of detection just trigger the radar gun watch for people slamming on the brakes and search the car david lee leex sfu ca they are illegal here in manitoba as well though i don t know what methods are used to detect them it has always amazed me with the way the laws work it is not illegal to sell them here in manitoba only to have them within a vehicle last i heard they don t have to be installed to be illegal victor inqmind bison mb ca the inquiring mind bbs winnipeg manitoba
7304,sci.electronics,re motorola xc rc and rc in article apr rosie uh edu st my rosie uh edu stich christian e writes i just installed a motorola xc rc fpu in an amiga a board mhz with capability to clock the fpu separately previously a mc rc was installed and everything was working perfectly now the systems displays a yellow screen indicating a exception when it check for the presence type of fpu when i reinstall an mc rc the system works fine but with the xc even at mhz it does not work the designer of the board mentioned that putting a pullup resistor on data strobe ohm might help but that didn t change anything does anybody have some suggestions what i could do does this look like a cpu fpu communications problem or is the particular chip dead it is a pull not new moreover the place i bought it from is sending me an xc rc i thought that the rc were labeled mc not xc for not finalized mask design are there any mc rc thanks christian have you changed the crystal that clocks for the fpu if you haven t then it won t work conrad
10912,talk.politics.misc,re good neighbor political hypocrisy test in article c l rp ebm news iastate edu jrbeach iastate edu jeffry r beach writes in article apr gordian com mike gordian com michael a thomas writes i really don t want to waste time in here to do battle about the legalization of drugs if you really want to we can get into it and prove just how idiotic that idea is read i do not know what the fuck i m talking about and am not eager to make a fool of myself oh you foolish person i do know what the fuck i m talking about and will gladly demonstrate for such ignorants as yourself if you wish the legalization of drugs will provide few if any of the benefits so highly taunted by its proponents safer cheaper drugs along with revenues from taxes on those drugs reduced crime and reduced organized crime specifically etc etc ahhh the classic truth by blatant assertion technique too bad it s so demonstrably false take a look at great britain sometime for a nice history on drug criminalization the evidence there shows that during periods of time when drugs such as heroin were illegal crime went up and people did die from bad drugs during times when drugs were legalized those trends were reversed if you would like to prove how clueless you are we can get into why again a lot of wasted posts that i don t think this group was intended for and something easily solved by you doing a little research now this is a great example of an ironclad proof gosh i m convinced for the humor impaired first assert something for which you have no evidence then dodge requests for proof by claiming to know what this group was intended for as to research if you d done any at all you d realize that there is plenty of reason to believe that legalizing drugs will have many benefits to society there are some plausible arguments against it too but they aren t enough to convince me that criminalization of drugs is the answer i m willing to be convinced i m wrong but i seriously doubt the likes of you can do it dale cook any town having more churches than bars has a serious social problem edward abbey the opinions are mine only i e they are not my employer s
2511,comp.sys.mac.hardware,put ex syquest in centris i remember reading a thread a few days ago that mentioned removing an external syquest drive from its case and dropping it in the internal drive of a centris i was going to do that with my but had a couple of questions my pli m syquest drive has a wire from the drive to an id switch on the outside of the case where do i connect this switch can the computer just tell with internal drives i noticed that the drive will lay over part of the motherboard i didn t look closely but i seem to recall it laying over the ram that s soldered onto the motherboard would that cause problems one last question is there anywhere to order a faceplate cover the drive s front panel is smaller than the space left in the case the drive s panel is the same size as the spotsbm clone s cases should i just cut a hole in the plastic panel that is currently holding tmpty place ans are welcomed thanks keith moffatt kmoffatt vax cstp umkc edu
5338,rec.sport.baseball,tiger stadium gif does anybody have a gif of the tiger stadium seating chart thanks brian curran mead data central brian meaddata com i didn t think i should ve been asked to catch when the temperature was below my age carlton fisk chicago white sox catcher on playing during a degree april ball game
5731,rec.sport.baseball,re all time best players in article apr aplcen apl jhu edu jmhodapp aplcomm jhuapl edu writes in article apr princeton edu roger crux princeton edu roger lustig writes in article apr bsu ucs mbstultz leo bsuvc bsu edu writes i ve recently been working on project to determine the greatest players at their respective postions b career what about u johnny hodapp the greatest nd baseman in cleveland indians history hits in consistantly over a great great second baseman um the header said career hodapp managed about pa in his nine years in the majors as for his consistently over make that three years in a row preceded by a part time year plus his last year with boston hodapp only qualified for the batting title five times was he injured he retired right around his th birthday anyway hodapp put up flashy numbers the year everybody put up flashy numbers that was his only really good year with a bat his other years were marred by a lack of power and an inability to draw walks only of those pa were bases on balls which does not describe a feared hitter on the other hand he was part of the long line of famous cleveland b wambsganss riggs stephenson etc roger jon johnny hodapp jmhodapp aplcomm jhuapl edu
7612,sci.med,re lung disorders and clubbing of fingers in article slagle mar sgi msd lmsc lockheed com slagle lmsc lockheed com writes can anyone out there enlighten me on the relationship between lung disorders and clubbing or swelling and widening of the fingertips what is the mechanism and why would a physician call for chest xrays to diagnose the cause of the clubbing purists often distinguish between true clubbing and pseudo clubbing the difference being that with true clubbing the angle of the nail when viewed from the side is constantly negative when proceeding distally towards the fingertip with pseudo clubbing the angle is initially positive then negative which is the normal situation real internists can talk for hours about clubbing i m limited to a couple of minutes whether this distinction has anything to do with reality is entirely unclear but it is one of those things that internists love to paw over during rounds supposedly only true clubbing is associated with disease the problem is that the list of diseases associated with clubbing is quite long and includes both congenital conditions and acquired disease since many of these diseases are associated with cardiopulmonary problems leading to right to left shunts and chronic hypoxemia it is very reasonable to get a chest xray however many of the congenital abnormalities would only be diagnosed with a cardiac catheterization the cause of clubbing is unclear but presumably relates to some factor causing blood vessels in the distal fingertip to dilate abnormally clubbing is one of those things from an examination which is a tipoff to do more extensive examination often however the cause of the clubbing is quite apparent km
1704,comp.sys.ibm.pc.hardware,re dos interlink jka air larc nasa gov j keith alston writes hi does anyone know what type of cabling is required to use the interlink capability provided in dos i tried a null modem cable and had two copies of procomm talking happily to one another but interlink kept saying no connection made i gave up and used floppies
8494,sci.space,re level in article c sy s x cs cmu edu tm msu edu tom writes nick haines sez given that i ve heard the shuttle software rated as level in maturity i strongly doubt that this having lots of bugs is the case level out of how many what are the different levels i ve never heard of this rating system anyone care to clue me in this is a rating system used by arpa and other organisations to measure the maturity of a software process i e the entire process by which software gets designed written tested delivered supported etc see managing the software process by watts s humphrey addison wesley an excellent software engineering text the levels of software process maturity are initial repeatable defined managed optimizing the levels are approximately characterized as follows no statistically software process control have no statistical basis for estimating how large software will be how long it will take to produce how expensive it will be or how reliable it will be most software production is at this level stable process with statistical controls rigorous project management having done something once can do it again projects are planned in detail and there is software configuration management and quality assurance the process is defined and understood implementation is consistent this includes things like software inspection a rigorous software testing framework more configuration management and typically a software engineering process group within the project statistical information on the software is systematically gathered and analysed and the process is controlled on the basis of this information software quality is measured and has goals defects are prevented the process is automated software contracts are effective and certified nick haines nickh cmu edu
7625,sci.med,re blindsight in article werner tol mac soe berkeley edu werner soe berkeley edu john werner writes in article pitt uucp geb cs pitt edu gordon banks wrote explain i thought there were types of cones equivalent to rgb you re basically right but i think there are just types one is sensitive to red and green and the other is sensitive to blue and yellow this is why the two most common kinds of color blindness are red green and blue yellow yes i remember that now well in that case the cones are indeed color sensitive contrary to what the original respondent had claimed gordon banks n jxp skepticism is the chastity of the intellect and geb cadre dsl pitt edu it is shameful to surrender it too soon
4908,rec.motorcycles,re bikes and contacts in article apr news columbia edu scs cunixb cc columbia edu sebastian c sears writes in article apr linus mitre org cookson mbunix mitre org cookson writes in article c ckp c d news cso uiuc edu cs a dcl nxt cso uiuc edu cs student writes i have a quick question i recently got a bike and drive it often but my one problem is the wind messing with my contacts i have gas permeable how about a full face helmet with the face sheild down works for me actually this doesn t always work for me either i have wind that blows around inside my rf some and it ll dry my eyes out get dust in them eventually unless i m also wearing sunglasses inside my helmet i too usually wear sunglasses inside my full face helmet to keep dirt wind out of my contacts mumble mumble mumble charlie smith dod doh kspt
4393,rec.autos,re re aftermarket a c units les bartel s comments sorry i can t help you with your question but i do have a comment to make concerning aftermarket a c units i have a frost king or frost temp forget which aftermarket unit on my cavalier and am quite unhappy with it the fan is noisy and doesn t put out much air i will never have an aftermarket a c installed in any of my vehicles again i just can t trust the quality and performance after this experience les let me add my in i had a a c installed by the ford garage and it did not work as well as the a c that was installed by the factory in pickups identical to mine i have talked to other people that have had the same result don t know if this is just a probable with ford or what ernie smith i agree never have the dealer add anything to your car if you want a c make sure it is factory installed honda s maybe excluded many can t be bought with a c installed at the factory but i think maybe they actually use all the needed parts for a true factory install when they put one in as in bigger radiator etc or are designed properly for this in the st place anyway my point is the dealer installed a c won t be anywhere near as good as factory and the service bums will mess up your car when installing it scratches screwdriver holes in seats parts not reinstalled correctly or with all the screws etc i know a guy who has been service manager at a gm dealer for years he said never have a dealer add anything to your car except maybe floormats
6131,rec.sport.hockey,re sharks kingston fired in article apr leland stanford edu terry garfield stanford edu terry wong writes i think that jack ferreira s firing eventually led to kingston s firing you mention consistency of vision i think the sharks lost that with the loss of ferreira there has never been a headed g m that has ever worked you need one person making the personnel decisions at the top not management by committee the conventional wisdom from around the league is that ferreira would have made the moves that would have fielded a better product on the ice how exactly would ferreira accomplished this the three headed gm ship has taken a lot of heat but nobody s explained how things would have been any different had ferreira still been there would ferreira have made more trades who would have he had traded would he have made fewer trades who should not have been traded sherri nichols snichols adobe com
10726,talk.politics.misc,re bush s wi was clinton s wiretapping initiative in a previous article garrett ingres com the sky already fell now what says in article aa inet gw pa dec com blh uiboise idbsu edu broward l horne writes i guess your strength isn t in math clinton hasn t been president for months in other words it s bush s wiretapping initiative you re right i bailed out in diff eq nevertheless i would suggest to you that there is a difference between a proposed bill stalled in congress and a executive order crammed down our throats do you disagree i strongly urge you to consider moving any savings you have overseas into protected bank accounts while you are still able have you went to the post office on friday got my passport apps in my savings have already been converted
5517,rec.sport.baseball,re expanded nl strike zone was re a surfeit of offense in article news duke edu fierkelab bchm biochem duke edu eric roush writes in article apr cs cornell edu tedward cs cornell edu edward ted fischer writes we won t really be able to say anything for at least another couple of weeks but so far it looks like a homerific season might the umps be squeezing the strike zone watching the braves on tbs i would have said that the strike zone in the nl has expanded this season specifically it appears that the strike zone has moved above the belt yeah the announcers have commented on that also but it was also my perception however the strike zone hasn t climbed all the way up to the letters it s more like a little ways under the letters any other perceptions out there judging by the way the reds pitchers have performed thus far it appears to me that the zone has been squeezed to the size of a grape douglas n ritter dougr meaddata com life is short ride hard uunet meaddata dougr
8864,soc.religion.christian,re eternity of hell was re hell vic mmalt guild org vic kulikauskas writes our moderator writes i m inclined to read descriptions such as the lake of fire as indicating annihilation however that s a minority view it s my personal view but the only denominations i know of that hold it officially are the jw s and sda s i can t find the reference right now but didn t c s lewis speculate somewhere that hell might be the state of once having been a human soul why is it that we have this notion that god takes some sort of pleasure from punishing people the purpose of hell is to destroy the devil and his angels to the earlier poster who tried to support the eternal hell theory with the fact that the fallen angels were not destroyed remember the bible teaches that god has reserved them until the day of judgement their judgement is soon to come let me suggest this maybe those who believe in the eternal hell theory should provide all the biblical evidence they can find for it stay away from human theories and only take into account references in the bible darius
10408,talk.politics.mideast,serdar you are such a loser system fourd com phone cute quote being a computer means never having to say you re sorry
3157,comp.windows.x,re build x r with xlc aix e on apr gmt dla se wg waii com doug acker said doug nntp posting host se wg waii com on apr gmt dla se wg waii com doug acker said doug nntp posting host se wg waii com doug i am having a big problem trying to build mit x r with xlc doug the one bundled with aix e its almost the linker is not doug working properly with shared libraries doug i ve built x r with no problem before but now its all headaches doug for example the xset client complains that libxmu doesnt have a bunch doug of xt routines and shr o is missing or something like that the doug build of libxmu does link in libxt so i am really perplexed what is doug going on doug following up on this the specific error i get is doug could not load program xset doug symbol xtvasetvalues in lib xmu libxmu a is undefined doug symbol xtname in lib xmu libxmu a is undefined doug symbol xtwindowofobject in lib xmu libxmu a is undefined doug symbol xtgetconstraintresourcelist in lib xmu libxmu a is undefined doug symbol xtdisplaytoapplicationcontext in lib xmu libxmu a is undefined doug symbol xtappsettypeconverter in lib xmu libxmu a is undefined doug symbol xtscreendatabase in lib xmu libxmu a is undefined doug symbol xtresolvepathname in lib xmu libxmu a is undefined doug symbol xtcvtstringtofont in lib xmu libxmu a is undefined doug symbol xtcallconverter in lib xmu libxmu a is undefined doug symbol xtdisplaystringconversionwarning in lib xmu libxmu a is undefined doug could not load library libxmu a shr o doug error was exec format error a search on ibmlink revealed that this is similar to ix howervre this was closed use douglas l acker western geophysical exploration products a division of western atlas international inc a litton dresser company internet acker wg waii com voice
6423,sci.crypt,re inventing crypto policy an eff statement april initial eff analysis of clinton privacy and security proposal the clinton administration today made a major announcement on cryptography policy which will effect the privacy and security of millions of americans the first part of the plan is to begin a comprehensive inquiry into major communications privacy issues such as export controls which have effectively denied most people easy access to robust encryption and law enforcement issues posed by new technology however eff is very concerned that the administration has already reached a conclusion on one critical part of the inquiry before any public comment or discussion has been allowed apparently the administration is going to use its leverage to get all telephone equipment vendors to adopt a voice encryption standard developed by the national security agency the so called clipper chip is an bit split key escrowed encryption scheme which will be built into chips manufactured by a military contractor two separate escrow agents would store users keys and be required to turn them over law enforcement upon presentation of a valid warrant the encryption scheme used is to be classified but the chips will be available to any manufacturer for incorporation into its communications products this proposal raises a number of serious concerns first the administration has adopted a solution before conducting an inquiry the nsa developed clipper chip may not be the most secure product other vendors or developers may have better schemes furthermore we should not rely on the government as the sole source for the clipper or any other chips rather independent chip manufacturers should be able to produce chipsets based on open standards second an algorithm cannot be trusted unless it can be tested yet the administration proposes to keep the chip algorithm classified eff believes that any standard adopted ought to be public and open the public will only have confidence in the security of a standard that is open to independent expert scrutiny third while the use of the use of a split key dual escrowed system may prove to be a reasonable balance between privacy and law enforcement needs the details of this scheme must be explored publicly before it is adopted what will give people confidence in the safety of their keys does disclosure of keys to a third party waive an individual s fifth amendment rights in subsequent criminal inquiries these are but a few of the many questions the administrations proposal raised but fails to answer in sum the administration has shown great sensitivity to the importance of these issues by planning a comprehensive inquiry into digital privacy and security however the clipper chip solution ought to be considered as part of the inquiry and not be adopted before the discussion even begins details of the proposal escrow the bit key will be divided between two escrow agents each of whom hold bits of each key the manufacturer of the communications device would be required to register all keys with the two independent escrow agents a key is tied to the device however not the person using it upon presentation of a valid court order the two escrow agents would have to turn the key parts over to law enforcement agents according to the presidential directive just issued the attorney general will be asked to identify appropriate escrow agents some in the administration have suggested that one non law enforcement federal agency perhaps the federal reserve and one non governmental organization could be chosen but there is no agreement on the identity of the agents yet classified algorithm and the possibility of back doors the administration claims that there are no back doors means by which the government or others could break the code without securing keys from the escrow agents and that the president will be told there are no back doors to this classified algorithm in order to prove this administration sources are interested in arranging for an all star crypto cracker team to come in under a security arrangement and examine the algorithm for trap doors the results of the investigation would then be made public the clipper chipset was designed and is being produced and a sole source secret contract between the national security agency and two private firms vlsi and mycotronx nsa work on this plan has been underway for about four years the manufacturing contract was let months ago government as market driver in order to get a market moving and to show that the government believes in the security of this system the feds will be the first big customers for this product users will include the fbi secret service vp al gore and maybe even the president at today s commerce department press briefing a number of people asked this question though why would any private organization or individual adopt a classified standard that had no independent guaranty of security or freedom from trap doors comprehensive policy inquiry the administration has also announced that it is about to commence an inquiry into all policy issues related to privacy protection encryption and law enforcement the items to be considered include export controls on encryption technology and the fbi s digital telephony proposal it appears that the this inquiry will be conducted by the national security council unfortunately however the presidential directive describing the inquiry is classified some public involvement in the process has been promised but they terms have yet to be specified from more information contact jerry berman executive director jberman eff org daniel j weitzner senior staff counsel djw eff org full text of the press releases and fact sheets issued by the administration will be available on eff s ftp site danny weitzner senior staff counsel eff
4574,rec.autos,re plymouth sundance dodge shadow experiences daubendr nextwork rose hulman edu darren r daubenspeck writes they are pretty much junk stay away from them they will be replaced next year with all new models junk they ve made the c d lists for years due to their excellent handling and acceleration they have been around since about oh or so they re not the newest on the lot and mileage is about five to eight mpg under the class leader you can get into a l v hp shadow for k the i turbo a bit more and a droptop for k how can car be any good that has s n a c u d n e written on the back with crooked letters as if a year old had written it hehhehehehahaha about as silly as crysler s attemps to make the label on the back of some of their other cars appear like they are mercedes sorry i couldn t resist barryb
997,comp.graphics,re why does illustrator autotrace so poorly in article b vmcbrt diablo uucp diablo uucp cboesel charles boesel writes i ve been trying to figure out a way to get adobe illustrator to auto trace exactly what i see on my screen but it misses the edges of templates by as many as pixels or more resulting in images that are useless i need exact tracing not approximate i ve tried adjusting the freehand tolerances as well as autotrace tolerances but it doesn t help any suggestions charles boesel diablo creative if pro for and con against cboesel diablo uu holonet net then what s the opposite of progress pager what else congress i ve had exactly the same problems in aldus freehand i think autotracing is one of those features that barely works but everybody feels compelled to throw it in because the other guys are doing it david farley the university of chicago library east th street jrl dgf midway uchicago edu chicago illinois
5627,rec.sport.baseball,darrrrrrrrryl the media is beating the incident at dodger stadium on wednesday to death but i haven t seen anything in rsb yet gerald perry of the cardinals pinch hit in the eighth inning with two on and his club down by a run he stroked a line drive into the right field corner the ball cleared the three foot high fence and went into the crowd darryl racing over from right center got to the spot in time to reach his glove up over the short fence but he missed the ball a fan sitting in the front row wearing a mitt reached up and caught the ball home run now i ve seen the replay several times and i have concluded that darryl missed the ball and that the fan s glove was essentially behind darryl s several dodger fans with seats in the immediate vicinity have claimed that the fan unquestionably interfered with strawberry what cannot be disputed however is that the fan who caught the ball never took his eye off it he was oblivious to where the fielder was playing he was also quite exuberant as soon as he realized he had made the catch that exuberance disappeared immediately however when strawberry went into a tirade at the man all reports indicate he used a lot of profanity and accused the man of interference and therefore of costing the dodgers a game shortly afterwards other fans hurled food and beverages toward the man who made the catch dodger stadium officials started to remove him from the park but then relented and just relocated him to another area in an interview after the game lasorda blamed the fan for the loss strawberry also went into a tirade about how the fans are stupid and they don t care about winning l a times columnists similarly blasted the man who made the catch before each dodger game the public address announcer makes a speech wherein he says that fans are welcome to the souvenirs of balls that are hit into the stands as long as they do not interfere with any that are in the field of play was the fan wrong should he have been more aware of the situation and acted to avoid any possibility of interference or was he human and just reacting by the way he is a season ticket holder and on his request the dodgers have relocated his seats to another area of the stadium where future interference is impossible others have questioned why darryl should be so concerned with what the fan did when he has a grand total of rbi through the first nine games i question what he was doing in right center with a left handed pull hitter up and the game on the line had he been closer to the play he certainly would have had a much better chance of catching the ball but i guess the big debate continues as to what are the responsibilities of the fan the beastmaster mark singer mss netcom com
